program_name,recipients,description,uses,website,program_short_name
Land ports of entry projects,"Alaska, Arizona, California, Idaho, Maine, Minnesota, New York, North Dakota, Texas, Vermont, and Washington",modernize land ports of entry,updating existing infrastructure to improve the speed of pedestrian and commercial border traffic,https://www.gsa.gov/real-estate/gsa-properties/land-ports-of-entry-and-the-bipartisan-infrastructure-law/bipartisan-infrastructure-law-construction-projects ,land_port
Regional Direct Air Capture (DAC) Hubs Program,two direct air capture facilities in Texas and Louisiana,advance their development,large-scale carbon sequestration technologies and hiring workers formerly employed in the fossil-fuel industry,https://www.energy.gov/oced/DACHubs ,dac_hubs
Smart Grid Grants,"States, local governments, tribal governments, for-profit and nonprofit organizations, and colleges and universities","increase the flexibility, efficiency, and reliability of the electric power system","increasing the capacity of the transmission system, preventing faults that may lead to wildfires, integrating the use of renewable energy, and facilitating the implementation of electric vehicles, buildings, and other grid-edge devices",https://www.energy.gov/gdo/smart-grid-grants ,smart_grid
Charging and Fueling Infrastructure Grant Program,"local governments, tribal communities, public agencies, and colleges and universities",deploy publicly accessible electric vehicle charging infrastructure and other alternative fueling infrastructure,installing electric vehicle charging and alternative fuel in various public locations and along designated alternative fuel corridors,https://www.transportation.gov/rural/grant-toolkit/charging-and-fueling-infrastructure-grant-program,charge_fuel_infra
Affordable Connectivity (ACP) Outreach Grant Program,"states, local governments, tribal communities, nonprofits, public agencies, and others",facilitate the promotion of and participation in the Affordable Connectivity Program,enlisting partners to serve as community messengers and equipping them with resources to reach communities with low incomes,https://www.fcc.gov/acp-grants,acp_outreach
"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) Program","states, local governments, tribal communities, and public agencies",improve the resilience of the surface transportation system,"building infrastructure to reduce flooding hazard risk, developing plans focused on resilience against natural disasters, implementing safety improvements on existing roadways, and more",https://www.fhwa.dot.gov/environment/protect/discretionary/grant_recipients/ ,fhwa_protect_comp
"Clean hydrogen electrolysis, manufacturing, and recycling activities","for-profit organizations, private research institutions, and colleges and universities.",reduce the cost of clean hydrogen and reinforce American leadership in the hydrogen industry,"the research, development, demonstration, and deployment of technologies for manufacturing and recycling clean hydrogen systems and materials",https://www.energy.gov/eere/fuelcells/bipartisan-infrastructure-law-clean-hydrogen-electrolysis-manufacturing-and-0 ,doe_hydrogen_electro
Agricultural Conservation Easement Program (ACEP),"states, local governments, tribal communities, land trusts, and other entities",protect the agricultural viability and related conservation values of eligible land,"conservation easements to limit nonagricultural uses, rehabilitating and protecting grazing land, and conserving wetlands",https://www.nrcs.usda.gov/programs-initiatives/acep-agricultural-conservation-easement-program ,ag_acep
Conservation Stewardship Program (CSP),farmers and ranchers,receive technical and financial assistance to manage existing conservation systems and implement additional conservation activities on agricultural land,"soil, water, and air quality improvements, increased biodiversity protection, carbon sequestration, and water and energy conservation",https://www.nrcs.usda.gov/programs-initiatives/csp-conservation-stewardship-program ,ag_csp
Urban and community forestry grants,"states, local governments, tribal communities, public agencies, colleges and universities, nonprofits, and others",increase equitable access to trees and green space,"Increase the urban tree canopy, improve landscape restoration, green infrastructure, community engagement, and workforce pathways",https://www.fs.usda.gov/managing-land/urban-forests/ucf/2023-grant-funding ,ag_urban_forest
Rural Energy for America Program (REAP),farmers and other rural small businesses,implement renewable energy technologies,solar arrays and other energy efficient technologies,https://www.rd.usda.gov/programs-services/energy-programs/rural-energy-america-program-renewable-energy-systems-energy-efficiency-improvement-guaranteed-loans,ag_reap
National Laboratory infrastructure grants,scientific research laboratories ,accelerate scientific progress while making existing research facilities more sustainable,reducing the carbon footprint of Department of Energy facilities and investing in research,https://www.energy.gov/science/articles/fact-sheet-inflation-reduction-act-supporting-future-doe-science,national_lab
Supportive Housing for Persons with Disabilities,nonprofit developers of affordable housing for people with disabilities and state housing agencies,develop and subsidize rental housing with supportive services for very low- and extremely low-income adults with disabilities,"providing interest-free capital advances, operating subsidies, and project rental assistance",https://www.hud.gov/program_offices/housing/mfh/grants/section811ptl,hud_disability
Emergency Solutions Grants Program,"cities, urban counties, territories, and states, as defined in 24 CFR 576.2",help people quickly regain stability in permanent housing after experiencing a housing crisis or homelessness,"street outreach, emergency shelter, homelessness prevention, rapid re-housing assistance, homeless management information systems, and administrative activities",https://www.hudexchange.info/programs/esg/,hud_esg
Housing Opportunities for Persons with AIDS (HOPWA) Program,"local communities, states, and nonprofit organizations",benefit people with low incomes living with HIV/AIDS and their families,"the acquisition, rehabilitation, or new construction of housing units; costs for facility operations; rental assistance; and short-term payments to prevent homelessness",https://www.hudexchange.info/programs/hopwa/,hud_hopwa
Housing Trust Fund (HTF),states and state-designated entities,produce and preserve affordable housing for extremely low- and very low-income households,"the acquisition, new construction, reconstruction, and rehabilitation of non-luxury households with suitable amenities",https://www.hudexchange.info/programs/htf/,hud_htf
State Planning and Research Program Subpart B (SPR-B),states ,"develop innovative, research-driven solutions to increasingly complex transportation challenges","planning, design, construction, and maintenance of highways and public transportation systems",https://www.fhwa.dot.gov/publications/research/general/spr/subpartB/index.cfm,fhwa_spr
Transportation Alternatives Program (TAP),"local governments, regional transportation authorities, transit agencies, natural resource or public land agencies, school districts, local education agencies, schools, tribal governments, and metropolitan planning organizations","help build safe streets for all users no matter their mode of transportation and achieve safe, connected, and equitable on-and off-road networks ","smaller-scale transportation projects such as pedestrian and bicycle facilities; construction of turnouts, overlooks, and viewing areas; stormwater and habitat connectivity; historic preservation and vegetation management; recreational trails; safe routes to school projects; and vulnerable road user safety assessments",https://www.fhwa.dot.gov/environment/transportation_alternatives/,fhwa_tap
Rural Development Broadband ReConnect Program,"states, local governments, territories, tribal nations, corporations, and cooperatives or mutual organizations ","facilitate modern, reliable, high-speed Internet service in rural America","the costs of construction, improvement, and equipment necessary to provide broadband service capable of delivering 100 megabits per second", https://www.usda.gov/sustainability/infrastructure/broadband/reconnect-loan-and-grant-program,ag_reconnect
Community Wildfire Defense Grant (CWDG) Program,"communities at-risk from wildfires, states, local governments, tribal nations, state forestry agencies, nonprofit organizations, and Alaska Native corporations",assist at-risk local communities and tribal nations with planning for and mitigating against wildfire risks ,the development and revision of Community Wildfire Protection Plans and the implementation of projects described in a CWPP created in the last ten years, https://www.fs.usda.gov/managing-land/fire/grants/cwdg ,fs_wildfire
"Broadband Equity, Access, and Deployment Program",states and territories,expand high-speed internet access,"planning (e.g., broadband data collection), infrastructure deployment and upgrades, provision of devices to promote broadband adoption, digital equity programs, and reduced-cost internet access to multi-family housing units",https://broadbandusa.ntia.doc.gov/funding-programs/broadband-equity-access-and-deployment-bead-program,doe_bead_initial
Tribal Broadband Connectivity Program,"tribal governments, tribal organizations, colleges or universities, the Department of Hawaiian Home Lands, and Alaska Native corporations","deploy broadband and advance telehealth, distance learning, and digital inclusion efforts on tribal lands","planning, infrastructure deployment, adoption, digital literacy, tech support, digital skills training, devices, public access, research and evaluation, data, and telehealth",https://broadbandusa.ntia.doc.gov/funding-programs/tribal-broadband-connectivity,tribal_broadband
Enabling Middle Mile Grant Program,"states, counties, cities, tribal governments, economic development authorities, regional planning councils, technology and utility companies, and nonprofits",reduce the cost of connecting unserved and underserved areas by expand middle mile Internet infrastructure ,broadband infrastructure deployment,https://broadbandusa.ntia.doc.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program,ntia_middle_mile
US Army Corps of Engineers IIJA Construction Projects,the Army Corps of Engineers,"reduce coastal storm and flood damage and improve federal waterways in ways that improve commercial navigation, ecosystem restoration, and the utility of ports and harbors ","the operation and maintenance of authorized US Army Corps of Engineers projects that fall under five different federal program categories: Coastal Storm Risk Management, Hurricane, and Storm Damage Reduction; Inland Flood Risk Management; Inland Waterways; Aquatic Ecosystem Restoration; and Major Rehabilitation for Rivers and Harbors",https://www.nab.usace.army.mil/Missions/Military-Programs/Operations-Maintenance/ ,usace
Civil Nuclear Credit Program,certified nuclear reactors that are projected to cease operations because of economic reasons during the next four years,preserve the existing US reactor fleet and thousands of high-paying jobs across the country ,continuing nuclear reactor operations,https://www.energy.gov/gdo/civil-nuclear-credit-program,doe_nuclear
Weatherization Assistance Program,states and tribal governments,reduce energy costs for households with low incomes by increasing energy efficiency ,"improving heating and cooling of dwellings by installing weatherization materials such as attic insulation, caulking, and weather-stripping ",https://www.energy.gov/scep/wap/weatherization-assistance-program,doe_weatherization
Housing Choice Voucher Program (Section 8),public housing authorities,"help families with very low incomes, elderly adults, and people with disabilities afford decent, safe, and sanitary housing in the private market",,https://www.hud.gov/topics/housing_choice_voucher_program_section_8,hcv
Section 8 Housing Assistance Payments (project based),public housing authorities,"help families with very low incomes, elderly adults, and people with disabilities afford decent, safe, and sanitary housing in the private market",affordable project-based units that support economic opportunity,https://www.hud.gov/program_offices/public_indian_housing/programs/hcv/project,s8_project
Public Housing Capital Fund,public housing authorities,"develop, finance, and modernize public housing developments","management improvements and other upgrades; funds may not go toward luxury improvements, direct social services, or other ineligible activities as determined by HUD",https://www.hud.gov/program_offices/public_indian_housing/programs/ph/capfund,public_hsg_cap
Public Housing Operating Fund,public housing authorities,"help families with very low incomes, elderly adults, and people with disabilities afford decent, safe, and sanitary housing in the private market",activities relating to operating and maintaining existing public housing units,https://www.hud.gov/program_offices/public_indian_housing/programs/ph/am/webportal,public_hsg
Community Development Block Grant (CDBG) Program,"states, cities, and counties",build stronger and more resilient communities ,"activities that address needs such as infrastructure, economic development, public facilities, community centers, housing rehabilitation, and homeowner assistance (does not fund new housing)",https://www.hudexchange.info/programs/cdbg/,cdbg_entitlement
Continuum of Care (COC) Program,"states, local governments, and nonprofits",end homelessness,rehousing people and families while minimizing trauma and dislocation; promoting access to and use of mainstream housing support programs; and optimizing self-sufficiency among individuals and families experiencing homelessness,https://www.hudexchange.info/programs/coc/,coc
HOME Investment Partnerships Program,state and local governments,support affordable housing,"building, buying, and rehabilitating affordable housing or providing direct rental assistance to people with low incomes",https://www.hud.gov/program_offices/comm_planning/home,home
Supportive Housing for the Elderly (Section 202),private nonprofit organizations and nonprofit consumer cooperatives,provide supportive housing for older adults with very low incomes ,"the construction, rehabilitation, and acquisition of structures to provide supportive housing and rent subsidies for projects to make them affordable",https://www.hud.gov/program_offices/housing/mfh/progdesc/eld202,elderly
Aging Infrastructure Account,transferred works operators and reserved works project beneficiaries ,support maintenance work on reclamation project facilities,"the repair, rehabilitation, and maintenance of infrastructure assets for reserved or transferred works",https://www.usbr.gov/bil/docs/infrastructure/FY-2022-Aging-Infrastructure-Report-to-Congress.pdf,doi_aging_infra
Indian water rights settlements,federally recognized tribal governments ,support Indigenous water rights and satisfy federal obligations under the November 2021 Indian water rights settlements,,https://www.bia.gov/service/indian-water-rights-settlements,indian_water
"Water Storage, Groundwater Storage, and Conveyance projects",state and local governments,"increase surface water or groundwater storage, or convey water to or from storage ",construction and grants,https://www.usbr.gov/bil/docs/spendplan-2022/Reclamation-BIL-Spend-Plan-Storage-Addendum-09-30-2022.pdf,doi_water_storage
Rural water projects,rural and tribal communities,support the seven rural water construction projects authorized in accordance with the Reclamation Rural Water Supply Act of 2006,,https://www.usbr.gov/bil/docs/spendplan-2023/Reclamation-BIL-Spend-Plan-Addendum-Rural-Water-03-02-23.pdf,doi_rural_water
Water recycling and desalination projects,projects in reclamation states,"support projects that reclaim or reuse municipal, industrial, or agricultural wastewater or impaired ground and surface waters",water recycling and reuse projects and large water reuse projects,https://www.usbr.gov/watersmart/title/index.html ,doi_water_recycle
National Highway Performance Program (NHPP),states,"support the condition, performance, and resiliency of the National Highway System ","highway and bridge projects on the National Highway System, such as maintenance, construction, and disaster-mitigation activities, as well as some bridge projects on non-National Highway System Federal-aid highways. This page also includes highway funding to Puerto Rico through the Territorial Highway Program",https://www.fhwa.dot.gov/bipartisan-infrastructure-law/nhpp.cfm,fhwa_nhpp
Surface Transportation Block Grant Program (STBG),states and metropolitan planning organizations,promote flexibility in transportation decisions and address transportation needs,"projects related to the roughly 1 million miles of federal-aid highways, bridges on any public road, and transit capital projects",https://www.fhwa.dot.gov/bipartisan-infrastructure-law/stbg.cfm,fhwa_stp
Federal Transit Administration Urbanized Area Formula Grants Program,"states, counties, cities, townships, special districts, and federally recognized tribal governments ",support transit operations in urbanized areas and transportation-related planning,"planning, capital, and operating assistance",https://www.transit.dot.gov/funding/grants/urbanized-area-formula-grants-5307,fta_5307_5340
Bridge Formula Program,states,improve bridges on public roads,"replacing, rehabilitating, preserving, protecting, and constructing bridges on public roads",https://www.fhwa.dot.gov/bipartisan-infrastructure-law/bfp.cfm,fhwa_bridge
Federal Transit Administration State of Good Repair Grants Program,"states, counties, cities, townships, special districts, and federally recognized tribal governments",help transit agencies maintain high-intensity public transit and bus systems in a state of good repair,"maintenance, replacement, and rehabilitation of transit systems",https://www.transit.dot.gov/funding/grants/state-good-repair-grants-5337,fta_5337_combined
Highway Safety Improvement Program,states ,reduce traffic fatalities and serious injuries on all public roads,"data-driven, strategic safety projects on all public roads",https://highways.dot.gov/safety/hsip,fhwa_safety
Airport Infrastructure Formula Grants,"public agencies, private entities, and state and tribal governments that own a public-use airport that is part of the National Plan of Integrated Airport Systems",invest in airport safety and sustainability ,"runways and taxiways; safety and sustainability projects; and terminal, airport-transit connections, and roadway projects",https://www.faa.gov/bil/airport-infrastructure,airport_infrastructure_formula
Congestion Mitigation and Air Quality Improvement (CMAQ) Program,state and local governments ,provide flexible funding to help meet the requirements of the Clean Air Act,transportation projects that reduce congestion and emissions,https://www.fhwa.dot.gov/bipartisan-infrastructure-law/cmaq.cfm  ,fhwa_cmaq
Bridge Investment Program,"states, metropolitan planning organizations for areas with more than 200,000 people, local governments, special purpose districts, public authorities, federal land management agencies, and tribal governments",reduce the number of bridges in poor condition or at risk of falling into poor condition,"projects to improve bridge and culvert condition, safety, efficiency, and reliability",https://www.fhwa.dot.gov/bridge/bip/,bridge
Capital Investment Grants Program (New Starts/Small Starts),state and local government agencies including transit agencies,"invest in transit, including heavy rail, commuter rail, light rail, streetcars, and bus rapid transit ",new fixed guideway capital projects or small start projects and core capacity improvement projects,https://www.transit.dot.gov/CIG,capital_investment
Better Utilizing Investments to Leverage Development (BUILD) Grant Program (formerly RAISE),"states and local governments, tribal governments, transit agencies, and port authorities ",support modal and multi-jurisdictional projects,"projects related to highways, bridges, public transportation, passenger or freight rail, ports, airports, culverts, and any other surface transportation infrastructure that the secretary of transportation considers necessary to advance the goal of the program",https://www.transportation.gov/BUILDgrants,raise
"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT)—Formula Program",states,"support planning, resilience, and at-risk coastal infrastructure","highways, transit, and certain port projects",https://www.fhwa.dot.gov/bipartisan-infrastructure-law/protect_fact_sheet.cfm,fhwa_protect
Nationally Significant Freight and Highway Projects Program (INFRA),"states, metropolitan planning organizations serving areas with more than 200,000 people, local governments, special purpose districts, land management agencies, and tribal governments ",support multimodal freight and highway projects of national or regional significance,"projects that improve safety, generate economic benefits, reduce congestion, enhance resiliency, and offer the greatest promise to eliminate freight bottlenecks",https://www.transportation.gov/grants/infra-grant-program ,infra
National Highway Freight Program,states,improve the efficient movement of freight on the National Highway Freight Network,projects that contribute to the efficient movement of freight on the National Highway Freight Network and freight intermodal or freight rail projects,https://www.fhwa.dot.gov/bipartisan-infrastructure-law/nhfp.cfm,fhwa_highway_freight
Carbon Reduction Program (CRP),states ,reduce transportation carbon emissions,"projects including the construction, planning, and design of trails for pedestrians, bicyclists, and other nonmotorized transportation; public transportation projects; and congestion management technologies",https://www.fhwa.dot.gov/bipartisan-infrastructure-law/crp_fact_sheet.cfm,fhwa_carbon
Low or No Emission Vehicle Program,"states, counties, cities, townships, special districts, and federally recognized tribal governments ",provide zero-emission and low-emission transit buses,"purchasing or leasing zero- and low-emission buses, as well as acquiring, constructing, and leasing support facilities",https://www.transit.dot.gov/lowno,low_no_emission
Airport Terminals Program,"public agencies, private entities, and state and tribal governments that own a public use airport that is part of the National Plan of Integrated Airport Systems",address the aging air infrastructure ,capital improvements for airport terminal development; access roads that lead directly to or from an airport passenger terminal building; walkways that lead directly to or from an airport passenger terminal building; multimodal terminal development; and airport rail access projects ,https://www.faa.gov/bil/airport-terminals,airport_terminal
National Electric Vehicle Infrastructure Formula Program,states,"deploy electric vehicle charging infrastructure and establish a network for data collection, access, and reliability",the acquisition and installation of electric vehicle charging infrastructure; proper operation and maintenance; and data sharing,https://www.fhwa.dot.gov/bipartisan-infrastructure-law/nevi_formula_program.cfm,fhwa_ev
Safe Streets and Roads for All (SS4A) Grant Program,"metropolitan planning organizations, federally recognized tribal governments, and state subdivisions",prevent roadway deaths and serious injuries,developing a comprehensive safety action plan and implementing projects and strategies identified in local and state action plans,https://www.transportation.gov/grants/SS4A,safe_streets
"Federal Transit Administration Formula Grants for Rural Areas Program, Growing State Apportionments, Growing States and High-Density States Program (combined)","states, counties, cities, townships, special districts, tribal governments, nonprofits, and private bus carriers","support public transportation in rural areas with populations of less than 50,000","planning, operating assistance, technical assistance, and capital funding",https://www.transit.dot.gov/rural-formula-grants-5311,fta_5311_combined
Grants for Buses and Bus Facilities Formula Program,"states, counties, cities, townships, special districts, and federally recognized tribal governments","improve buses, bus facilities, and related equipment","replacing, rehabilitating, and purchasing buses and other equipment, and building bus-related facilities",https://www.transit.dot.gov/funding/grants/busprogram,fta_5339
Railroad Crossing Elimination Grant Program,"states, territories, local governments, political subdivisions, federally recognized tribal governments, port authorities, and metropolitan planning organizations",improve highway-rail and pathway-rail crossings,"grade separation or closures; relocating tracks; installing protective devices, signals, or signs; improving the safety and mobility of people and goods at rail crossings; and the planning, environmental review, and design of these projects",https://railroads.dot.gov/grants-loans/competitive-discretionary-grant-programs/railroad-crossing-elimination-grant-program,fra_rail_cross
Tribal Transportation Program,federally recognized tribal governments,"provide safe transportation and public road access to and within Indian reservations, Indian lands, and Alaska Native Village communities","projects that support transportation safety, access, and mobility in tribal communities",https://www.fhwa.dot.gov/bipartisan-infrastructure-law/ttp.cfm,ttp
Motor Carrier Safety Assistance Program,state-led motor carrier safety assistance program agencies,reduce the number and severity of crashes and hazardous materials incidents involving commercial motor vehicles,implementing a state's commercial motor vehicle safety plan,https://www.fmcsa.dot.gov/grants/mcsap-basic-incentive-grant/motor-carrier-safety-assistance-program-mcsap-grant,fmcsa_21
Metropolitan Planning Program,metropolitan planning organizations,continue the framework for making transportation investment decisions in metropolitan areas,"multimodal transportation planning and programming in metropolitan areas, including data collection and analysis; travel demand and system performance forecasting; identification of transportation system improvement needs; and coordination with the public, elected officials, and stakeholder groups",https://www.fhwa.dot.gov/bipartisan-infrastructure-law/metro_planning.cfm,fhwa_metro_plan
Port Infrastructure Development Program grants,public and private port authorities,invest in the modernization and expansion of US ports,"projects that improve the resiliency of ports to address sea-level rise, flooding, extreme weather events, earthquakes, and tsunami inundation, as well as projects that reduce or eliminate port-related pollution or greenhouse gas emissions", https://www.maritime.dot.gov/PIDPgrants,ports
Enhanced Mobility of Seniors and Individuals with Disabilities Program,"states, counties, cities, townships, special districts, federally recognized tribal governments, and nonprofits",meet the transportation needs of older adults and people with disabilities ,"capital, operating assistance, and planning",https://www.transit.dot.gov/funding/grants/enhanced-mobility-seniors-individuals-disabilities-section-5310,fta_5310
Federal Transit Administration Ferry Programs,states,improve and expand ferry service in communities across the country to help people connect with jobs and opportunity,"capital ferry projects, electric or low-emitting ferry upgrades, and ferry services in rural areas", https://www.transit.dot.gov/grants/fta-ferry-programs,ferry_rural_comms
Rural Surface Transportation Grant Program,"states, regional transportation planning organizations, local governments, and tribal governments",improve and expand the surface transportation infrastructure in rural areas,"eligible highway, bridge, freight, or tunnel projects and integrated mobility management systems, transportation demand management systems, or on-demand mobility services",https://www.transportation.gov/grants/rural-surface-transportation-grant-program,rural_surface
